model	dataset	trained	epoch_no	perturb_mec	sigma	epsilon	clip_norm	batch_size	num_images	restarts	OPTIM	cost_fn	indices	weights	scoring	init	tv	opt_score	psnr	test_mse	feat_mse	target_id	timing	dtype	val_acc	rec_img	gt_img
mnist cnn	MNIST	False	7	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0011	47.9649	0.0002	0.0000	2746	0:14:58.574785	torch.float32	1.0		
mnist cnn	MNIST	False	7	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0039	40.4047	0.0010	0.0000	3972	0:17:12.458882	torch.float32	1.0		
mnist cnn	MNIST	False	7	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0033	44.9896	0.0003	0.0000	2982	0:16:03.738827	torch.float32	1.0		
mnist cnn	MNIST	False	7	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0103	37.4419	0.0019	0.0000	2528	0:12:49.566453	torch.float32	1.0		
mnist cnn	MNIST	False	7	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0013	51.6251	0.0001	0.0000	9915	0:07:41.956018	torch.float32	1.0		
mnist cnn	MNIST	False	7	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0005	52.6894	0.0001	0.0000	6801	0:07:05.277165	torch.float32	1.0		
mnist cnn	MNIST	False	7	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0107	39.6718	0.0011	0.0000	4395	0:08:06.745697	torch.float32	1.0		
mnist cnn	MNIST	False	7	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0043	41.9543	0.0007	0.0000	3796	0:08:49.158742	torch.float32	1.0		
resnet18	CIFAR10	False	5	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0182	22.1563	0.0969	0.0001	1039	0:43:38.820596	torch.float32	1.0		
resnet18	CIFAR10	False	5	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0145	24.1151	0.0617	0.0001	3458	0:24:46.058470	torch.float32	1.0		
resnet18	CIFAR10	False	5	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0172	20.6260	0.1379	0.0004	8504	0:24:47.254374	torch.float32	1.0		
resnet18	CIFAR10	False	5	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0137	23.2115	0.0760	0.0001	3608	0:24:47.334790	torch.float32	1.0		
resnet18	CIFAR10	False	5	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0071	30.7031	0.0135	0.0000	843	0:24:47.455672	torch.float32	1.0		
resnet34	CIFAR10	False	5	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0375	13.5433	0.7043	2.2867	233	0:50:22.666375	torch.float32	1.0		
resnet34	CIFAR10	False	5	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0398	11.8885	1.0310	0.2822	4652	0:57:50.524037	torch.float32	1.0		
